username,selectedThemes
Sean Green,"['2_DevOps', '24_Quantum', '18_Design', '20_E-commerce/Retail', '27_Robotic Process Automation']"
Kimberly Smith,"['26_Mobile', '20_E-commerce/Retail', '18_Design', '2_DevOps', '4_Gaming', '27_Robotic Process Automation']"
Jennifer Summers,"['19_Education', '27_Robotic Process Automation', '24_Quantum', '26_Mobile', '9_Cybersecurity', '28_Databases', '15_Music/Art']"
April Snyder,"['26_Mobile', '19_Education', '24_Quantum', '27_Robotic Process Automation', '6_Machine Learning/AI', '14_COVID-19', '15_Music/Art', '4_Gaming', '5_AR/VR', '25_Web', '13_Social Good', '2_DevOps', '22_Open Ended', '10_Communication']"
Dana Nguyen,"['17_Low/No Code', '2_DevOps', '28_Databases', '13_Social Good', '24_Quantum', '23_Beginner Friendly', '5_AR/VR', '25_Web', '9_Cybersecurity', '4_Gaming', '10_Communication', '19_Education', '21_Enterprise', '18_Design', '7_IoT', '22_Open Ended', '12_Lifehacks', '6_Machine Learning/AI']"
Cheryl Bradley,"['27_Robotic Process Automation', '15_Music/Art', '28_Databases', '17_Low/No Code', '18_Design', '16_Health', '4_Gaming', '13_Social Good', '19_Education', '1_Blockchain', '9_Cybersecurity', '14_COVID-19', '2_DevOps', '3_Fintech', '24_Quantum', '5_AR/VR', '25_Web', '21_Enterprise', '23_Beginner Friendly', '26_Mobile', '7_IoT', '6_Machine Learning/AI', '11_Productivity']"
Walter Pratt,"['20_E-commerce/Retail', '22_Open Ended', '9_Cybersecurity', '2_DevOps', '11_Productivity', '19_Education', '23_Beginner Friendly', '7_IoT', '24_Quantum', '17_Low/No Code', '13_Social Good', '15_Music/Art', '18_Design', '1_Blockchain', '28_Databases', '3_Fintech', '27_Robotic Process Automation', '12_Lifehacks', '26_Mobile', '14_COVID-19', '21_Enterprise', '10_Communication', '4_Gaming', '6_Machine Learning/AI', '5_AR/VR']"
Bobby Flores,"['20_E-commerce/Retail', '25_Web', '21_Enterprise', '6_Machine Learning/AI', '4_Gaming', '5_AR/VR', '23_Beginner Friendly', '15_Music/Art', '18_Design']"
Tasha Rodriguez,"['24_Quantum', '10_Communication', '25_Web', '26_Mobile', '13_Social Good', '2_DevOps', '1_Blockchain', '21_Enterprise', '8_Voice skills', '19_Education', '12_Lifehacks', '14_COVID-19', '15_Music/Art', '20_E-commerce/Retail', '22_Open Ended', '3_Fintech', '23_Beginner Friendly', '11_Productivity', '28_Databases', '4_Gaming', '7_IoT', '16_Health']"
Michelle Kelley,"['4_Gaming', '7_IoT', '10_Communication', '11_Productivity', '23_Beginner Friendly', '5_AR/VR']"
Kimberly Maynard,"['28_Databases', '18_Design', '22_Open Ended', '26_Mobile', '10_Communication', '23_Beginner Friendly', '24_Quantum', '3_Fintech', '14_COVID-19', '16_Health', '17_Low/No Code', '8_Voice skills', '27_Robotic Process Automation', '11_Productivity', '1_Blockchain', '4_Gaming', '15_Music/Art', '2_DevOps', '20_E-commerce/Retail', '7_IoT', '12_Lifehacks', '25_Web', '21_Enterprise', '5_AR/VR', '13_Social Good', '9_Cybersecurity', '19_Education', '6_Machine Learning/AI']"
Laurie Wallace,"['16_Health', '27_Robotic Process Automation', '3_Fintech', '9_Cybersecurity', '26_Mobile', '23_Beginner Friendly', '20_E-commerce/Retail', '18_Design', '15_Music/Art', '7_IoT', '21_Enterprise', '22_Open Ended', '8_Voice skills', '10_Communication', '5_AR/VR', '14_COVID-19', '4_Gaming', '2_DevOps']"
Janice Johnston,"['4_Gaming', '27_Robotic Process Automation', '13_Social Good', '6_Machine Learning/AI', '26_Mobile', '12_Lifehacks', '22_Open Ended', '5_AR/VR', '18_Design', '11_Productivity', '21_Enterprise', '14_COVID-19', '19_Education', '25_Web', '15_Music/Art', '9_Cybersecurity', '3_Fintech', '28_Databases', '10_Communication']"
Collin Lopez,"['4_Gaming', '10_Communication', '20_E-commerce/Retail', '18_Design', '23_Beginner Friendly', '6_Machine Learning/AI', '17_Low/No Code', '12_Lifehacks', '16_Health']"
Mary Alvarez,"['4_Gaming', '21_Enterprise', '24_Quantum', '14_COVID-19', '11_Productivity', '26_Mobile', '2_DevOps', '8_Voice skills', '16_Health']"
Peter Mcdowell,"['3_Fintech', '11_Productivity', '18_Design', '10_Communication', '8_Voice skills', '27_Robotic Process Automation', '19_Education', '14_COVID-19', '13_Social Good', '4_Gaming', '5_AR/VR', '24_Quantum', '15_Music/Art', '28_Databases', '1_Blockchain', '2_DevOps', '12_Lifehacks', '26_Mobile', '23_Beginner Friendly', '25_Web', '6_Machine Learning/AI', '22_Open Ended', '20_E-commerce/Retail', '9_Cybersecurity', '17_Low/No Code']"
Sarah Villanueva,"['18_Design', '15_Music/Art', '28_Databases', '25_Web', '23_Beginner Friendly', '20_E-commerce/Retail', '16_Health', '13_Social Good', '24_Quantum', '5_AR/VR', '27_Robotic Process Automation', '17_Low/No Code', '8_Voice skills', '11_Productivity', '2_DevOps', '21_Enterprise', '4_Gaming', '12_Lifehacks', '3_Fintech', '10_Communication']"
Kimberly Myers,"['17_Low/No Code', '27_Robotic Process Automation', '1_Blockchain', '4_Gaming', '14_COVID-19', '24_Quantum', '2_DevOps']"
Desiree Cain,"['19_Education', '16_Health', '21_Enterprise', '15_Music/Art', '18_Design', '8_Voice skills', '7_IoT', '27_Robotic Process Automation', '17_Low/No Code', '24_Quantum']"
Stephanie Lawrence,"['27_Robotic Process Automation', '1_Blockchain', '24_Quantum', '8_Voice skills', '9_Cybersecurity']"
Lauren Hayes,"['28_Databases', '2_DevOps', '17_Low/No Code', '3_Fintech', '7_IoT', '8_Voice skills', '18_Design', '26_Mobile', '5_AR/VR', '22_Open Ended', '13_Social Good', '6_Machine Learning/AI', '19_Education', '20_E-commerce/Retail', '1_Blockchain', '9_Cybersecurity', '15_Music/Art', '16_Health', '4_Gaming']"
Whitney Stark,['7_IoT']
Angela Salazar,"['14_COVID-19', '12_Lifehacks', '7_IoT', '20_E-commerce/Retail', '23_Beginner Friendly', '11_Productivity', '17_Low/No Code', '24_Quantum', '27_Robotic Process Automation', '13_Social Good', '4_Gaming', '25_Web', '8_Voice skills', '19_Education', '9_Cybersecurity', '6_Machine Learning/AI', '1_Blockchain', '21_Enterprise', '28_Databases', '18_Design', '2_DevOps', '26_Mobile', '5_AR/VR', '16_Health', '15_Music/Art', '3_Fintech']"
Mr. Ryan Sanchez,"['1_Blockchain', '8_Voice skills', '13_Social Good', '18_Design', '24_Quantum', '28_Databases', '3_Fintech', '5_AR/VR', '12_Lifehacks', '19_Education', '17_Low/No Code', '25_Web', '26_Mobile', '20_E-commerce/Retail', '15_Music/Art', '10_Communication', '14_COVID-19', '21_Enterprise', '11_Productivity', '23_Beginner Friendly', '6_Machine Learning/AI', '27_Robotic Process Automation', '2_DevOps']"
Autumn Robinson,"['25_Web', '13_Social Good', '8_Voice skills', '7_IoT', '18_Design', '4_Gaming', '10_Communication', '11_Productivity', '15_Music/Art', '14_COVID-19', '17_Low/No Code', '2_DevOps', '21_Enterprise', '6_Machine Learning/AI', '12_Lifehacks', '16_Health', '26_Mobile', '20_E-commerce/Retail', '19_Education', '24_Quantum']"
Faith Cabrera,"['24_Quantum', '5_AR/VR', '13_Social Good', '15_Music/Art', '3_Fintech', '18_Design', '6_Machine Learning/AI', '1_Blockchain', '16_Health', '7_IoT', '9_Cybersecurity', '28_Databases', '11_Productivity', '19_Education', '20_E-commerce/Retail', '12_Lifehacks', '17_Low/No Code', '21_Enterprise', '23_Beginner Friendly', '25_Web', '2_DevOps', '14_COVID-19', '10_Communication', '4_Gaming', '22_Open Ended', '27_Robotic Process Automation', '8_Voice skills']"
Charles Wolfe,"['19_Education', '27_Robotic Process Automation', '10_Communication', '8_Voice skills', '6_Machine Learning/AI', '26_Mobile', '23_Beginner Friendly', '22_Open Ended', '11_Productivity', '20_E-commerce/Retail', '18_Design', '2_DevOps', '17_Low/No Code', '9_Cybersecurity', '25_Web', '13_Social Good', '12_Lifehacks', '5_AR/VR', '28_Databases', '24_Quantum', '15_Music/Art', '3_Fintech', '7_IoT', '4_Gaming', '14_COVID-19']"
Kenneth Kent,"['24_Quantum', '19_Education', '28_Databases', '5_AR/VR', '4_Gaming', '25_Web', '13_Social Good', '12_Lifehacks', '23_Beginner Friendly', '9_Cybersecurity', '6_Machine Learning/AI', '10_Communication', '8_Voice skills', '17_Low/No Code', '1_Blockchain', '21_Enterprise', '7_IoT']"
Melanie Johnson,"['3_Fintech', '2_DevOps', '21_Enterprise', '26_Mobile', '23_Beginner Friendly', '13_Social Good', '10_Communication', '9_Cybersecurity', '22_Open Ended', '1_Blockchain', '28_Databases', '6_Machine Learning/AI', '8_Voice skills', '12_Lifehacks', '11_Productivity', '15_Music/Art', '7_IoT']"
Lisa Johnston,"['4_Gaming', '25_Web', '8_Voice skills', '20_E-commerce/Retail', '15_Music/Art', '12_Lifehacks', '6_Machine Learning/AI', '27_Robotic Process Automation', '10_Communication']"
Jacob Hooper,"['15_Music/Art', '28_Databases', '8_Voice skills', '16_Health', '12_Lifehacks', '27_Robotic Process Automation', '26_Mobile', '20_E-commerce/Retail', '17_Low/No Code', '13_Social Good', '7_IoT', '14_COVID-19', '22_Open Ended', '24_Quantum', '23_Beginner Friendly']"
Alex Woodward,"['26_Mobile', '15_Music/Art', '10_Communication', '9_Cybersecurity', '23_Beginner Friendly', '1_Blockchain', '5_AR/VR', '28_Databases', '11_Productivity', '18_Design', '13_Social Good', '22_Open Ended', '14_COVID-19', '27_Robotic Process Automation', '24_Quantum', '25_Web', '20_E-commerce/Retail', '3_Fintech', '7_IoT', '21_Enterprise', '6_Machine Learning/AI', '4_Gaming', '16_Health', '19_Education']"
Caleb Clark,"['9_Cybersecurity', '21_Enterprise', '7_IoT', '4_Gaming', '1_Blockchain', '20_E-commerce/Retail', '25_Web', '14_COVID-19', '26_Mobile', '13_Social Good', '17_Low/No Code', '15_Music/Art', '16_Health', '3_Fintech', '22_Open Ended', '24_Quantum', '2_DevOps', '28_Databases', '6_Machine Learning/AI', '19_Education', '8_Voice skills']"
Taylor Johnson,"['19_Education', '1_Blockchain', '6_Machine Learning/AI', '14_COVID-19', '20_E-commerce/Retail', '26_Mobile', '17_Low/No Code', '28_Databases', '3_Fintech', '9_Cybersecurity', '12_Lifehacks', '2_DevOps', '27_Robotic Process Automation', '25_Web', '4_Gaming', '5_AR/VR', '21_Enterprise', '23_Beginner Friendly', '16_Health', '18_Design']"
Brian Green,"['15_Music/Art', '26_Mobile', '17_Low/No Code', '22_Open Ended', '20_E-commerce/Retail', '2_DevOps', '16_Health', '4_Gaming', '28_Databases', '25_Web', '8_Voice skills', '7_IoT', '21_Enterprise', '3_Fintech', '14_COVID-19', '24_Quantum']"
Matthew Bell,"['25_Web', '27_Robotic Process Automation', '10_Communication', '12_Lifehacks', '6_Machine Learning/AI', '28_Databases', '20_E-commerce/Retail', '14_COVID-19', '24_Quantum', '15_Music/Art', '21_Enterprise', '2_DevOps', '9_Cybersecurity', '13_Social Good', '22_Open Ended', '3_Fintech', '18_Design', '11_Productivity', '5_AR/VR', '1_Blockchain', '23_Beginner Friendly', '7_IoT', '17_Low/No Code', '4_Gaming', '8_Voice skills', '16_Health', '26_Mobile']"
Jonathan Williams,"['10_Communication', '17_Low/No Code', '23_Beginner Friendly', '3_Fintech', '4_Gaming', '9_Cybersecurity', '28_Databases', '2_DevOps', '14_COVID-19', '26_Mobile', '7_IoT', '5_AR/VR', '13_Social Good', '18_Design', '27_Robotic Process Automation', '19_Education', '12_Lifehacks', '20_E-commerce/Retail', '6_Machine Learning/AI']"
William Gonzalez,"['4_Gaming', '27_Robotic Process Automation', '28_Databases', '1_Blockchain', '18_Design', '24_Quantum', '6_Machine Learning/AI', '22_Open Ended', '19_Education', '5_AR/VR', '14_COVID-19', '17_Low/No Code', '9_Cybersecurity', '11_Productivity', '16_Health', '3_Fintech', '26_Mobile', '2_DevOps']"
Nicholas Massey,"['23_Beginner Friendly', '25_Web', '5_AR/VR', '14_COVID-19', '3_Fintech', '13_Social Good', '20_E-commerce/Retail', '17_Low/No Code', '19_Education', '9_Cybersecurity', '21_Enterprise', '10_Communication', '8_Voice skills', '1_Blockchain', '11_Productivity', '22_Open Ended', '15_Music/Art', '16_Health', '6_Machine Learning/AI', '7_IoT', '28_Databases', '18_Design', '4_Gaming', '2_DevOps', '24_Quantum']"
Caroline Chambers,"['10_Communication', '1_Blockchain', '25_Web']"
Amy Lowe,"['27_Robotic Process Automation', '18_Design', '24_Quantum', '10_Communication', '21_Enterprise', '11_Productivity', '8_Voice skills', '23_Beginner Friendly', '12_Lifehacks', '22_Open Ended', '4_Gaming', '2_DevOps', '17_Low/No Code', '5_AR/VR', '9_Cybersecurity', '6_Machine Learning/AI', '28_Databases', '16_Health', '20_E-commerce/Retail', '19_Education', '7_IoT', '26_Mobile', '15_Music/Art', '13_Social Good', '1_Blockchain', '3_Fintech', '25_Web', '14_COVID-19']"
Gloria King,"['25_Web', '15_Music/Art', '3_Fintech', '1_Blockchain', '11_Productivity', '24_Quantum', '23_Beginner Friendly', '19_Education', '12_Lifehacks', '14_COVID-19', '7_IoT', '28_Databases', '9_Cybersecurity', '17_Low/No Code', '6_Machine Learning/AI', '10_Communication', '16_Health']"
Jessica Thompson,"['10_Communication', '2_DevOps', '14_COVID-19', '8_Voice skills', '11_Productivity', '17_Low/No Code', '26_Mobile', '21_Enterprise']"
Jason Carroll,"['14_COVID-19', '28_Databases', '3_Fintech', '2_DevOps', '13_Social Good', '1_Blockchain', '16_Health', '24_Quantum', '15_Music/Art', '19_Education', '12_Lifehacks', '25_Web', '17_Low/No Code', '20_E-commerce/Retail', '5_AR/VR', '9_Cybersecurity', '18_Design', '22_Open Ended']"
Emily Howard,"['19_Education', '13_Social Good', '18_Design', '8_Voice skills', '10_Communication', '16_Health', '7_IoT', '3_Fintech', '11_Productivity', '27_Robotic Process Automation', '26_Mobile', '17_Low/No Code', '4_Gaming', '9_Cybersecurity', '12_Lifehacks', '20_E-commerce/Retail', '2_DevOps', '23_Beginner Friendly', '5_AR/VR', '6_Machine Learning/AI', '25_Web', '14_COVID-19', '21_Enterprise', '22_Open Ended', '28_Databases', '24_Quantum']"
Danielle Castro,"['28_Databases', '24_Quantum', '22_Open Ended', '3_Fintech']"
Patrick Rogers,"['4_Gaming', '22_Open Ended', '19_Education', '20_E-commerce/Retail']"
Douglas Allen,"['19_Education', '11_Productivity', '24_Quantum', '15_Music/Art', '5_AR/VR', '18_Design', '16_Health', '13_Social Good']"
Heather Roberts,"['24_Quantum', '7_IoT', '6_Machine Learning/AI', '13_Social Good', '27_Robotic Process Automation', '11_Productivity', '2_DevOps', '12_Lifehacks', '8_Voice skills', '21_Enterprise']"
Travis Schultz,"['28_Databases', '14_COVID-19', '6_Machine Learning/AI', '9_Cybersecurity', '18_Design', '11_Productivity', '25_Web', '23_Beginner Friendly', '3_Fintech', '1_Blockchain', '26_Mobile']"
Michelle Hughes,"['1_Blockchain', '6_Machine Learning/AI', '16_Health', '11_Productivity', '18_Design']"
Matthew Smith,"['13_Social Good', '9_Cybersecurity', '19_Education', '22_Open Ended', '7_IoT']"
George Allen,"['18_Design', '6_Machine Learning/AI', '1_Blockchain', '27_Robotic Process Automation', '19_Education', '16_Health', '5_AR/VR', '11_Productivity', '3_Fintech', '23_Beginner Friendly', '4_Gaming', '13_Social Good', '7_IoT', '2_DevOps', '8_Voice skills', '21_Enterprise', '10_Communication', '14_COVID-19', '28_Databases', '20_E-commerce/Retail', '26_Mobile', '17_Low/No Code', '25_Web']"
Jamie Hutchinson,"['9_Cybersecurity', '23_Beginner Friendly', '12_Lifehacks', '20_E-commerce/Retail', '2_DevOps', '21_Enterprise', '25_Web', '4_Gaming', '18_Design', '13_Social Good', '28_Databases', '27_Robotic Process Automation', '15_Music/Art', '10_Communication', '16_Health', '24_Quantum', '1_Blockchain', '8_Voice skills', '7_IoT']"
Jennifer Morales,"['3_Fintech', '5_AR/VR', '25_Web', '23_Beginner Friendly', '8_Voice skills', '18_Design', '16_Health', '22_Open Ended']"
Jennifer Bates,"['27_Robotic Process Automation', '17_Low/No Code', '10_Communication', '9_Cybersecurity', '3_Fintech', '23_Beginner Friendly', '7_IoT', '2_DevOps', '5_AR/VR', '22_Open Ended', '4_Gaming', '21_Enterprise', '26_Mobile', '15_Music/Art', '14_COVID-19', '28_Databases', '20_E-commerce/Retail', '16_Health', '1_Blockchain', '18_Design', '6_Machine Learning/AI', '12_Lifehacks', '11_Productivity', '13_Social Good', '19_Education', '8_Voice skills']"
Jeremy Green,"['14_COVID-19', '12_Lifehacks', '23_Beginner Friendly', '8_Voice skills', '3_Fintech', '15_Music/Art', '26_Mobile', '5_AR/VR', '6_Machine Learning/AI']"
Joseph Freeman,"['23_Beginner Friendly', '18_Design', '26_Mobile', '22_Open Ended', '14_COVID-19', '15_Music/Art', '6_Machine Learning/AI', '10_Communication', '1_Blockchain', '17_Low/No Code', '9_Cybersecurity', '20_E-commerce/Retail', '12_Lifehacks']"
Nicole Henson,"['1_Blockchain', '28_Databases', '23_Beginner Friendly', '22_Open Ended', '24_Quantum', '14_COVID-19', '20_E-commerce/Retail', '3_Fintech', '5_AR/VR', '7_IoT', '26_Mobile', '8_Voice skills', '2_DevOps', '16_Health', '15_Music/Art', '6_Machine Learning/AI', '12_Lifehacks', '25_Web', '17_Low/No Code', '19_Education', '10_Communication', '21_Enterprise', '9_Cybersecurity', '13_Social Good', '27_Robotic Process Automation', '4_Gaming', '11_Productivity']"
Eric Owens PhD,"['22_Open Ended', '4_Gaming', '11_Productivity', '26_Mobile', '3_Fintech', '23_Beginner Friendly', '12_Lifehacks']"
Robin Lopez,"['20_E-commerce/Retail', '21_Enterprise']"
Miss Angela Swanson DVM,"['5_AR/VR', '25_Web', '11_Productivity', '8_Voice skills', '1_Blockchain', '7_IoT', '9_Cybersecurity', '26_Mobile', '22_Open Ended', '4_Gaming', '28_Databases', '19_Education', '24_Quantum', '2_DevOps', '3_Fintech', '27_Robotic Process Automation', '16_Health', '12_Lifehacks', '17_Low/No Code', '10_Communication', '21_Enterprise', '14_COVID-19', '15_Music/Art']"
Michael Stewart,"['27_Robotic Process Automation', '7_IoT', '16_Health', '5_AR/VR', '6_Machine Learning/AI', '14_COVID-19', '21_Enterprise', '13_Social Good', '15_Music/Art', '2_DevOps', '23_Beginner Friendly', '19_Education']"
Mitchell Smith,"['18_Design', '16_Health', '2_DevOps', '8_Voice skills', '23_Beginner Friendly', '17_Low/No Code', '5_AR/VR', '12_Lifehacks', '3_Fintech', '27_Robotic Process Automation', '14_COVID-19', '10_Communication', '28_Databases', '22_Open Ended', '19_Education']"
Kelsey Davis,"['14_COVID-19', '12_Lifehacks', '22_Open Ended', '28_Databases', '13_Social Good', '26_Mobile', '24_Quantum', '16_Health', '19_Education', '7_IoT', '5_AR/VR', '10_Communication', '17_Low/No Code', '1_Blockchain', '11_Productivity']"
Matthew Russo,"['23_Beginner Friendly', '19_Education', '22_Open Ended', '17_Low/No Code', '24_Quantum', '21_Enterprise', '4_Gaming', '16_Health', '12_Lifehacks', '2_DevOps', '7_IoT', '3_Fintech']"
William Garcia,"['27_Robotic Process Automation', '23_Beginner Friendly', '21_Enterprise', '6_Machine Learning/AI', '4_Gaming', '15_Music/Art', '10_Communication']"
Jennifer Miller,"['5_AR/VR', '2_DevOps', '6_Machine Learning/AI', '25_Web', '27_Robotic Process Automation', '23_Beginner Friendly', '20_E-commerce/Retail', '10_Communication', '1_Blockchain', '9_Cybersecurity', '7_IoT', '8_Voice skills', '14_COVID-19', '21_Enterprise', '4_Gaming', '28_Databases', '16_Health', '18_Design']"
Jesse Sparks,"['19_Education', '6_Machine Learning/AI', '7_IoT', '3_Fintech', '20_E-commerce/Retail', '18_Design', '12_Lifehacks', '22_Open Ended', '23_Beginner Friendly', '2_DevOps', '28_Databases', '10_Communication', '24_Quantum', '14_COVID-19', '15_Music/Art', '13_Social Good', '21_Enterprise', '9_Cybersecurity', '5_AR/VR', '11_Productivity', '25_Web', '4_Gaming', '26_Mobile', '17_Low/No Code', '1_Blockchain', '27_Robotic Process Automation', '16_Health']"
Brandi Meyer,"['5_AR/VR', '14_COVID-19', '13_Social Good', '22_Open Ended', '15_Music/Art', '24_Quantum', '9_Cybersecurity', '28_Databases', '12_Lifehacks']"
Hannah Wiggins,"['28_Databases', '10_Communication', '1_Blockchain', '11_Productivity', '6_Machine Learning/AI', '13_Social Good', '19_Education', '9_Cybersecurity', '24_Quantum', '20_E-commerce/Retail']"
Albert Williams,"['12_Lifehacks', '23_Beginner Friendly', '3_Fintech', '24_Quantum', '25_Web', '7_IoT', '20_E-commerce/Retail', '27_Robotic Process Automation', '1_Blockchain', '13_Social Good', '2_DevOps', '15_Music/Art', '19_Education', '9_Cybersecurity', '10_Communication', '14_COVID-19', '17_Low/No Code', '28_Databases', '22_Open Ended', '4_Gaming']"
Kristin Potts,"['7_IoT', '27_Robotic Process Automation', '12_Lifehacks', '19_Education', '18_Design', '16_Health', '11_Productivity', '20_E-commerce/Retail', '3_Fintech', '26_Mobile', '8_Voice skills', '5_AR/VR', '9_Cybersecurity', '23_Beginner Friendly', '14_COVID-19', '28_Databases', '1_Blockchain', '13_Social Good']"
Susan Williams,"['8_Voice skills', '6_Machine Learning/AI', '2_DevOps', '13_Social Good', '17_Low/No Code', '4_Gaming', '14_COVID-19', '25_Web', '15_Music/Art', '5_AR/VR', '3_Fintech', '19_Education', '20_E-commerce/Retail']"
Meredith Rios,"['15_Music/Art', '28_Databases', '19_Education', '13_Social Good', '25_Web', '5_AR/VR', '14_COVID-19', '9_Cybersecurity', '17_Low/No Code', '7_IoT', '27_Robotic Process Automation', '6_Machine Learning/AI', '22_Open Ended', '11_Productivity']"
Stephanie Bowman,"['11_Productivity', '26_Mobile', '14_COVID-19']"
Joshua Clark,"['15_Music/Art', '23_Beginner Friendly', '9_Cybersecurity', '7_IoT', '13_Social Good', '20_E-commerce/Retail', '11_Productivity', '17_Low/No Code', '22_Open Ended', '28_Databases', '12_Lifehacks', '16_Health', '21_Enterprise', '26_Mobile', '5_AR/VR', '4_Gaming', '18_Design', '8_Voice skills', '14_COVID-19', '3_Fintech', '27_Robotic Process Automation', '6_Machine Learning/AI', '19_Education', '10_Communication', '1_Blockchain']"
Alexa Hernandez,"['28_Databases', '14_COVID-19', '13_Social Good', '5_AR/VR', '2_DevOps', '20_E-commerce/Retail', '22_Open Ended', '15_Music/Art', '4_Gaming', '6_Machine Learning/AI', '24_Quantum', '11_Productivity', '7_IoT', '17_Low/No Code', '16_Health', '19_Education', '3_Fintech', '1_Blockchain']"
Richard Higgins,"['12_Lifehacks', '24_Quantum', '22_Open Ended', '13_Social Good', '4_Gaming', '11_Productivity', '5_AR/VR', '9_Cybersecurity', '28_Databases', '21_Enterprise', '27_Robotic Process Automation', '7_IoT', '19_Education', '15_Music/Art', '8_Voice skills', '20_E-commerce/Retail', '1_Blockchain', '10_Communication']"
Marc Williams,"['15_Music/Art', '22_Open Ended', '3_Fintech', '18_Design', '10_Communication', '5_AR/VR', '26_Mobile', '14_COVID-19']"
William Roberts,"['12_Lifehacks', '24_Quantum']"
Joshua Carter,"['12_Lifehacks', '4_Gaming', '21_Enterprise', '24_Quantum', '9_Cybersecurity', '8_Voice skills', '26_Mobile', '18_Design', '17_Low/No Code']"
David Williams,"['10_Communication', '22_Open Ended', '3_Fintech', '9_Cybersecurity']"
Joseph Jones,"['25_Web', '5_AR/VR', '13_Social Good', '2_DevOps', '15_Music/Art', '20_E-commerce/Retail', '11_Productivity', '17_Low/No Code', '22_Open Ended']"
Gary Perry,"['26_Mobile', '9_Cybersecurity', '12_Lifehacks', '28_Databases', '17_Low/No Code', '6_Machine Learning/AI', '4_Gaming', '13_Social Good', '2_DevOps']"
Terry Wells,"['4_Gaming', '19_Education', '17_Low/No Code', '26_Mobile', '21_Enterprise', '2_DevOps', '14_COVID-19', '9_Cybersecurity', '13_Social Good', '6_Machine Learning/AI']"
Vanessa Cooper,"['15_Music/Art', '24_Quantum', '1_Blockchain', '27_Robotic Process Automation', '7_IoT', '6_Machine Learning/AI', '8_Voice skills', '14_COVID-19', '25_Web', '13_Social Good', '21_Enterprise', '11_Productivity', '10_Communication', '2_DevOps', '5_AR/VR', '9_Cybersecurity']"
Michael Simmons,"['20_E-commerce/Retail', '23_Beginner Friendly', '3_Fintech', '27_Robotic Process Automation', '4_Gaming', '10_Communication', '12_Lifehacks']"
