,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Matthew Russo,Atlanta Sci-fi Film Festival's (ASCIFFF) Game Jam,EduHacks,Agent:Hacker 2,Supernova Hackathon,Liquid Hacks 3.0
William Garcia,UNT NSBEHack 2023,Carolina Data Challenge 2021,AWS Graviton Hackathon,Datathon TAWS,KuriusHacks: Christmas Edition 2021
Jennifer Miller,Google’s Immersive Geospatial Challenge,Diamond Hacks,BostonHacks 2020,Sunflower Hackathon,HackSmith 2021
Jesse Sparks,API World Hackathon 2022,HackElevate,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon
Brandi Meyer,2022 WHS GWC x Robotics Hackathon,Cyber Hacks,HackAttack,SharkHack's MiniHack,WHS GWC x Robotics Hackathon
Hannah Wiggins,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,Zoohackathon 2019 - Vienna,Solo Hacks 1.0,2019 SBC All Teens Hack,EthiopiaHacks v9
Albert Williams,HACC 2022,Hack-on-chain,Hack It Together 2023,Give Back Hacks 3,VandyHacks X
Kristin Potts,Google’s Immersive Geospatial Challenge,Hack the Valley 7,BlockHack Global FE 2022,BMCC Virtual Hack-A-Thon Fall 2021: Hacking for Social Good,Rehack 
Susan Williams,SouthHacks 2019,HackUIowa '22,Intellothon,Investment Week La Hackathon 2023 ,AI Games
Meredith Rios,hackMCST VII,PlutoHacks 2023,Climate AI Hackathon | SF #TechWeek,Urban Health AI Challenge - Detroit ,Spark2Code SpreadLOVE - Join Discord ASAP!
Stephanie Bowman,RALLYtoUS + VetsinTech Online Hackathon,Cutie Hack 2020: Stay At Home,FDD Dart and Flutter Student Hackathon,Devfest Ikot-Ekpene 2022,BostonHacks 2021
Joshua Clark,Google’s Immersive Geospatial Challenge,HackRPI Fall 2020,CODE WILD EGYPT: Wildlife Hackathon ,QCBT Hack for Impact,Opportunity Hack 2023 - Virtual
Alexa Hernandez,Hackerslack,Hack Your Path 4.0,QBHacks 2019,YB Hackathon,Kiva Fall 2021 Hackathon
Richard Higgins,HackforNaija,CYHacks '22,RMRKable Hacktoberfest,Micro Hack 2023,Lehman Hacks
Marc Williams,SunflowerHack2021,Snap Kit Developer Challenge 2020,Snap Developer Challenge 2021,MarinaHacks 2022,TOHacks AR/VR Challenge
William Roberts,CasbahTech Hackathon,PharmaHacks 2019,"Ecohacks: Reduce, Reuse, Rehack",QuackHacks Spring 2023,NewHacks - IEEE University of Toronto
Joshua Carter,HackLBS,Alexa Skills Challenge: In-Skill Purchasing,Nordic IT Security Hackathon 2023,UX Scene Designathon 2022,HackathonX
David Williams,Bitcoin Hackathon for MFI & Education,BlockHack Hackathon,ETHSingapore,[Hybrid] HackOnChain,Stratis Smart Contracts Challenge
Joseph Jones,Google’s Immersive Geospatial Challenge,Hopeathon Hawaii Has Been Cancelled Due to COVID,The Fidelity Hackathon,AI & Music festival hackathon,Brook Codes 2021
Gary Perry,HACK LPS,OPTIV x SSF CYBER SECURITY 2023,IEEE Open Hacks,Hack for the World,GreatUniHack19
Terry Wells,API World Hackathon 2022,FDD Dart and Flutter Student Hackathon,OPTIV x SSF CYBER SECURITY 2023,Turn Language into Action: A Natural Language Hackathon for Good,Ideahack! - WHU`s Hackathon 
Vanessa Cooper,Hack the Crisis (Ages 8-17),Outside LLMs,Kolkata Zoohackathon 2019,Hackathon Deacero 2020,HVTechFest Hackathon
Michael Simmons,Investment Week La Hackathon 2023 ,Twitch Dev Jam 2019,Women In Fintech,"""Jump In!"" Hackathon",them@iit
Nicholas Kline,AI HackTrack at LiU,HappyHacks II,ConHacks 2023,BostonHacks 2022,MLDA Deep Learning Week 2021 Hackathon
Lori Bennett,API World Hackathon 2022,"Project Program - UW CSC, DSC",HackTable2020,DeveloperWeek Austin 2021 Hackathon,Ideathon: Innovative Ideas
Margaret Jones,API World Hackathon 2022,Luna Hacks  : Postman ,AR VR FEST HACKATHON,Hack-A-League,Hydra Hacks III
Paul Brown,Brook Codes 2021,CPES Hack in Scratch 2022,"Smart e-Hackathon on ""SUSTAINABLE RURAL DEVELOPMENT - 2021 (SH-SRD 2021)""",HackQC 2022,DevFest Eket 2023 - Ecosolutions
James Stone,SHPE 2021 Innovation Challenge ,Amazon Aurora Database Challenge,DG Hack 01,KBTG Software Architecture Design and Development Hackathon 2019,AWS {PDX} Hackathon
John Richards,API World Hackathon 2022,MuleSoft Hackathon 2021,HackEPS 2021,API World Hackathon 2021,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G
Jenny Richardson,API World Hackathon 2022,QBHacks 2019,HR Hackathon: Embrace distributed teams and remote HR,Code Queen Challenge  Dec 2020,CODE WILD EGYPT: Wildlife Hackathon 
Debbie Waters MD,Hack Orlando,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)",NSBEHacks UofT 2019 (Inaugural),Hawaii Annual Code Challenge 2021,Boston University Welcome Back MiniHack
Austin Boyer,EVMxIdeathon,The New Georgia Project Game Jam,IHS CS Club November Hackathon,Gaming Hackathon ,HackMantra
Stephanie Hayes,Data Hackfest,Presto Hacks,#PayAsYouKnow Hackathon,Girls Hoo Hack 2023,Hack the Bronx 2
Barbara Sanders,API World Hackathon 2022,Do-Re-Mi Hacks 3,AI Hacks,HackQC 2022,Luna Hacks  : Software Engineering 
Andrew Gould,Google’s Immersive Geospatial Challenge,Pega Community Hackathon 2022,Swiss Blockchain Hackathon 2021,2021 Calgary Youth Hackathon,Torus 4 Everyone
Charles Gonzalez,Microsoft US Hack for Wellness,SkyHack 3.0,Moscow Zoohackathon,Virtual COBRE Overdose Hackathon,HackTheMidlands 6.0
Joshua Hernandez,Castlethon 3.0,Micro Hack 2023,Сarcheckvin,Square: Build What’s POS_sible,DeveloperWeek Enterprise 2022 Hackathon
Victoria Hernandez MD,Hack to the Future 2020,Hack Brooklyn 2021,GovTech Hackathon 2021,Metaverso Hackathon,CodeUp Hackathon
Sherry Simpson,AI Blockchain,Qubit 24Hr Hackathon,Celo's Make Crypto Mobile Hackathon,CodeDAO Web3 Hackathon,Restart Week Hackathon
Erica Jimenez,API World Hackathon 2022,Qubit 24Hr Hackathon,Westview Hacks,Hackadtech - open hackathon by AdTech Holding,QuHacks 2021
Mr. Dakota Lynch II,Hydrogen X Future Hackathon,2020 Tunisian Smart Cities Online Hackathon,The Green Plan 2030 Challenge,5G Edge Computing Challenge with AWS,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo
Victor Nolan,Torus 4 Everyone,Courier Hacks: Feature Focus,Constellation: A Chainlink Hackathon,UCL API Hackathon 2022,Microsoft Student Summit Africa 2021 Hackathon
Amanda Hernandez,hackUMBC Fall 2020,INRIX Hack,Courier Hacks: Open Source,Qubit 24Hr Hackathon,INRIX Hack 2023
Richard Kirby,API World Hackathon 2022,Carolina Hacks,Kore.ai Botathon,Hack to the Future,TRON Grand Hackathon - Season 3
Michelle Roman,Google’s Immersive Geospatial Challenge,#ZiHack 9,VandyHacks VIII: Space Edition,DevFest GDG Algiers 2k19,Hack Around The World
Bradley Melton,QuackHacks Spring 2023,Med-Tech Hackathon,IBM Z Datathon 2023,SPARKATHON,Ideate
Danny Williams,Campus2030,Google’s Immersive Geospatial Challenge,HackmaFest,Defense Hackathon SRM ,AstonHack8
Ryan Rivera,Hack the Valley 8,HackeRam,DigitalBits Blockchain Hackathon,Hack the Change 2022,AWSomeify Hackathon
Charles Douglas,A-Z Hacks,HackPrinceton,HackTCNJ 2021,Tigre Hacks,Castlethon 4.0
Kathy Santana,QuackHacks Spring 2023,LancerHacks V,HACK4WESTBENGAL&UTTARAKHAND,McGill Physics Hackathon 2021,Knight Hacks Projects Program Fall 2021
Laura Gregory,NSBE FRC Hackathon 2019,Local Hack Day: Learn Day 6 ,MHacks 14,DevFest'19 jeddah ,Ingenium
Norma Mooney,API World Hackathon 2022,Zoohackathon 2019 - Vienna,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,Chainlink Fall Hackathon 2021,IEEE Open Hacks
Susan Harris,CodeFest'21,ML4Earth Hackathon 2022 (online),Datathon FME 2022,Training Camp 9,Databricks Asia Pacific LLM Cup 2023
Linda Petersen,API World Hackathon 2022,Startup Monterey Bay Hackathon,CodeXplode: Ignite the Coding Revolution,Call for Startups,India Innovation Series - Delhi NCR
Dr. James Willis,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Rebecca Sandoval,HVTechFest Hackathon,Microsoft #BuildFor2030 Hackathon,The GoldenHack,Hack Education ,OSHHACK 11 [2022-2023] 
Christopher Hunter,MLH Coding Challenge,Hack4Earth,Mixed Reality Challenge: StereoKit (C# and OpenXR),HELPFUL HACKATHON: Tackling Climate Change ,STEM JAM
Austin Heath,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Elizabeth Russell,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Amy Davidson,Google’s Immersive Geospatial Challenge,ProjectCSGirls Fremont 2021 Hackathon,Microsoft Azure Innovation Challenge ,IvyHacks: First Ivy League Hackathon,Snap Kit Developer Challenge 2020
Dustin Greer,API World Hackathon 2022,ProjectCSGirls Fremont 2021 Hackathon,Mixed Reality Challenge: StereoKit (C# and OpenXR),Foursquare Places Hackathon,Metis Ethereum Hackathon
Andrew Butler,API World Hackathon 2022,TechTogether Boston,API World Hackathon 2021,NextStep,HackeRam
Scott Love DDS,Design~wave,Creations 2.0,UX Scene Designathon 2022,SLAC WiSTEM Program Project Competition,HackathonX
William Jenkins,Google’s Immersive Geospatial Challenge,Hack For The World 2023,Set the World on FHIR,New Futures Hackathon for Ageing in Place,Pebble Change the World Hackathon ($70K in prizes)
Jasmine Williams,API World Hackathon 2022,Hydra Hacks III,Pega Community Hackathon 2022,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon
Christian Johnson,MontyHacks V,Bharat TechXperience,iCUBE_2.0,Codegeist Unleashed,HACK FOR A CAUSE
Lorraine Garcia,API World Hackathon 2022,Mixed Reality Challenge: StereoKit (C# and OpenXR),API World Hackathon 2021,Torus 4 Everyone,BlockHack 2023
Hannah Reyes,theCoderSchool Fall 2022 Hackathon,MetroHacks 2021,XRPL Hackathon: NFT Launch Party,HackCamp 2021,Theta Hackathon Q3 2021
Katherine Ibarra,AWS Graviton Hackathon,AI Games,SacHacks IV,Red Bull AdrenaLAN 2019,SMU LIT Hackathon 2022
Julie Chen,Civiso Designathon 2022,RESEARCH EXPO INDUSTRIAL,UX Scene Designathon 2022,SLAC WiSTEM Program Project Competition,TiE University APP-A-THON 2022
Caleb Fleming,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Rachel Martinez,API World Hackathon 2022,HackPSU Fall 2023,ClockHacks,NewHacks 2021,Courier Hacks: Open Source
Rebecca Stark,API World Hackathon 2022,Hack-SA,Back To Hacking,KuriusHacks: Christmas Edition 2021,HackFit
Melanie Patrick,SDaCathon 2022 - Hack the Construction ,FactHack 2023,DeveloperWeek Enterprise 2022 Hackathon,Modzy AI Hackathon,API World Hackathon 2022
Rachel Lopez,SPARKATHON,Hackdemonium 2.0,Local Hack Day: Learn Day 4,HackSB 2022,Hack-at-ICE 2022
Jill Sherman,Vivid Hacks RICI,The 6-week Smart Contract Hackathon,EVMxIdeathon,Seerbit Future of Payment Hackathon ,Space City Hacks 2023
Richard Jones,What The Hack 2020: Environment Edition,Intelligent Innovators Hackathon 2022,Hack The Heights 5,Hackadon 2020 - COVID-19 ONLINE EDITION,Hack Upstate XV
Timothy Tucker,DeepDiveHacks,McGill CodeJam 2020,Haryana Steelers Hackathon,CharlestonHacks harborHack (in person only),HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G
Theresa Estrada,Google’s Immersive Geospatial Challenge,Data Natives Hackathon ,Northumbrian Water Data Hacks #IF2021,W5 Hackacomp,Emerging Technology Hack 2019
Cindy Davis,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Stacy Chan,API World Hackathon 2022,Strike: A Virtual Lightning Hackathon,Treasure Hacks,Brook Codes 2022,VolHacks V
Jennifer Torres,API World Hackathon 2022,MuleSoft Hackathon 2021,HackUTD IX ,Microsoft Azure Innovation Challenge ,IvyHacks: First Ivy League Hackathon
Jeffery Knight,Google’s Immersive Geospatial Challenge,MY Streamlit Hack,Celo's Make Crypto Mobile Hackathon,2022 AMD All Girl Online international Hackathon,NUS Inter-Hall Hackathon
Taylor Perry,API World Hackathon 2022,Hack The Block,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,tuwaiq bootcamp project,Hackerslack
Raymond Navarro,MuleSoft Hackathon 2021,UPitch 2019,HackSussex,Interledger Hackathon - ILP Summit 2023 Edition,The Fidelity Hackathon
Jeremy Parks,Google’s Immersive Geospatial Challenge,Girls Hoo Hack 2023,hackaTUM C0dev1d19,Kiva Fall 2021 Hackathon,PoweringSTEMHacks2
Thomas Rivers,DesignMerced,HackMorelos 12da Edicion,iCUBE_2.0,HR Hackathon: Embrace distributed teams and remote HR,LEC Hacks 2023
Angela Jones,The VRP Hackathon (powered by Ozone),Women In Fintech,Square: Build What’s POS_sible,WebWonders Hackfest,Potatathon
Allen Bailey,Google’s Immersive Geospatial Challenge,Emerging Technology Hack 2019,HackJA December 2021,UPitch 2019,LEC Hacks 2023
William Fuentes,YouthCodeX,SMU LIT Hackathon 2022,W5 Hackacomp,BadHacks 2023,CodeAfrika Power Apps Hands Course 2023
Steven Clark,#HACK for Missions: Chicago | Orlando | Phoenix,EthiopiaHacks v9,Hackathon 2023 - #Tech4Good,Virtual COBRE Overdose Hackathon,Ideahack! - WHU`s Hackathon 
Michael Mays,API World Hackathon 2022,Prototypical,Hack-on-chain,Sunflower Hackathon,LEC Hacks 2.0
Adam Wood,API World Hackathon 2022,Snap Kit Developer Challenge 2020,Hack APAC - “The New Normal is Yours!”,FuturistFest 2021,Garuda Hacks v2.0
Larry Villarreal,Codegeist 2022,2020 Facebook Developer Circles Community Challenge,monday.com Apps Marketplace Challenge: solutions for teams ,Social Ideathon,AEC Hackathon Online V.1.1
Brian Cooper,API World Hackathon 2022,Climathon #1: Expanding NYC ,BusinessMeetsTech IdeaHack! 2022,HackHW 2022,Hack the Game of GO
Beverly Levy,Opportunity Hack 2021,Enactus Windsor Hacks,APEC App Challenge 2020,2nd Annual Ithaca College code{a}thon,GirlCode Hackathon
John Carter,Genius Challenge,The 6-week Smart Contract Hackathon,Strike: A Virtual Lightning Hackathon,Intelligent Innovators Hackathon 2022,BCIT Winter Hacks 2021
Tina Fields,Quick Base Virtual Hackathon,Hack Plaksha,UX Scene Designathon 2022,sHacks v2.05 (pre-alpha release) FINAL (1).docx,AUIB Hackathon 
Willie Garcia,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Brooke Hurst,Human DeFi Haeck,Hack The Runway ,HELPFUL HACKATHON: Tackling Climate Change ,Au{T9}umn Hacks,Microsoft #BuildFor2030 Hackathon
Regina Stewart,Ideathon: Innovative Ideas,Snap Kit Developer Challenge 2020,Sunflower Hackathon,SunflowerHack2021,Snap Developer Challenge 2021
Paul Carter,Google’s Immersive Geospatial Challenge,Fremont Hacks,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,Steel City Hacks: Winter Hack 2022,SASEhack Fall 2023
Angel Anderson,SFU Engineering Competition 2021,Supernova Hackathon,Inventathon@HCC - Space,CodeRED Odyssey,HackED Society's Decodeathon
Blake Jones,UE Hackathon at NYIT,SMU Blockchain Club x Cartesi Hackathon,TABConf,Sorobanathon: Road to Mainnet,Hack-on-chain
Juan Yang,Au{T9}umn Hacks,Amplitude London Hackathon,DesignMerced,Ideate,The Hackathon 2020
Jay Walsh,Constellation: A Chainlink Hackathon,Chainlink Fall 2022 Hackathon,Cybersecurity Hackathon- Secure Kenya,Ensenada Hackathon 2022,FOLLOW THE WHITE RABBIT HACKATHON 2021
Jeremy Wood,SunflowerHack2021,HackSmith 2021,SkyHack 2023,DivHacks,Vivid Hacks RICI
Amy Ortiz,Google’s Immersive Geospatial Challenge,Pega Community Hackathon 2022,theCoderSchool Fall 2022 Hackathon,Stanford's SLAC Program STEM Media Competition,ProjectCSGirls Fremont 2021 Hackathon
